"COUNTY","COUNTYNAME","CITYNAME","REGION","STATE","COUNTYCODE","IsHotspot","Hotspot","UFOReports","CEs","UFOReports21stCent","RateUFOper100000","RateCEper100000","RateUFO21stCent","Rank","POP1990","POP1960","POPDIF6090","EDUC1960","Ocean","Lake","River","Interstate","Military","Nuclear","LONGITUDE","LATITUDE"
"Autauga","Autauga","Pratteville","US","AL","01","0",,"2","0",,"5.84419379346619","0.0",,,"34222.0","18739.0",,"262.0","0","0","1","1","0","0","86.5","32.48"
"Baldwin","Baldwin","Bay Minette","US","AL","02","0",,"28","2",,"28.4900284900285","2.03500203500204",,,"98280.0","49088.0",,"302.0","1","0","1","1","1","0","87.77","30.87"
"Barbour","Barbour","Clayton","US","AL","03","0",,"0","0",,"0.0","0.0",,,"25417.0","24700.0",,"202.0","0","1","0","0","0","0","85.48","31.88"
"Bibb","Bibb","Centreville","US","AL","04","0",,"0","0",,"0.0","0.0",,,"16576.0","14352.0",,"165.0","0","0","0","0","0","0","87.13","32.95"
"Blount","Blount","Oneonta","US","AL","05","0",,"4","3",,"10.1916021198532","7.64370158988993",,,"39248.0","25449.0",,"192.0","0","1","0","1","0","0","86.48","33.95"
"Bullock","Bullock","Union Springs","US","AL","06","0",,"0","0",,"0.0","0.0",,,"11042.0","13462.0",,"216.0","0","0","0","0","0","0","85.73","32.13"
"Butler","Butler","Greenville","US","AL","07","0",,"2","0",,"9.13575735428467","0.0",,,"21892.0","24560.0",,"205.0","0","0","0","1","0","0","86.67","31.83"
"Calhoun","Calhoun","Anniston","US","AL","08","0",,"11","1",,"9.47998000586035","0.861816364169123",,,"116034.0","95878.0",,"311.0","0","1","0","1","1","0","85.83","33.63"
"Chambers","Chambers","Lafayette","US","AL","09","0",,"5","3",,"13.5589543334418","8.13537260006508",,,"36876.0","37828.0",,"232.0","0","1","0","0","0","0","85.43","32.92"
"Cherokee","Cherokee","Centre","US","AL","10","0",,"2","0",,"10.2338433198588","0.0",,,"19543.0","16303.0",,"206.0","0","1","0","0","0","0","85.68","34.17"
"Chilton","Chilton","Clanton","US","AL","11","0",,"4","2",,"12.3236182143077","6.16180910715386",,,"32458.0","25693.0",,"187.0","0","1","0","1","0","0","86.63","32.83"
"Choctaw","Choctaw","Butler","US","AL","12","0",,"1","1",,"6.24297665126732","6.24297665126732",,,"16018.0","17870.0",,"187.0","0","0","1","0","0","0","88.25","32.07"
"Clarke","Clarke","Grove Hill","US","AL","13","0",,"1","0",,"3.67107195301028","0.0",,,"27240.0","25738.0",,"244.0","0","0","1","0","0","0","87.8","31.7"
"Clay","Clay","Ashland","US","AL","14","0",,"2","2",,"15.0920615756112","15.0920615756112",,,"13252.0","12400.0",,"194.0","0","0","0","0","0","0","85.83","33.25"
"Cleburne","Cleburne","Heflin","US","AL","15","0",,"4","0",,"31.4218381775334","0.0",,,"12730.0","10911.0",,"162.0","0","0","0","1","0","0","85.6","33.63"
"Coffee","Coffee","Elba","US","AL","16","0",,"6","0",,"14.9105367793241","0.0",,,"40240.0","30583.0",,"263.0","0","0","1","0","0","0","86.1","31.42"
"Colbert","Colbert","Tuscumbia","US","AL","17","0",,"4","1",,"7.74203538110169","1.93550884527542",,,"51666.0","46506.0",,"335.0","0","1","0","0","0","0","87.68","34.7"
"Conecuh","Conecuh","Evergreen","US","AL","18","0",,"1","0",,"7.11541198235378","0.0",,,"14054.0","17762.0",,"187.0","0","0","0","1","0","0","86.98","31.42"
"Coosa","Coosa","Rockford","US","AL","19","0",,"1","0",,"9.03913947392208","0.0",,,"11063.0","10726.0",,"211.0","0","1","0","0","0","0","86.25","32.9"
"Covington","Covington","Andalusia","US","AL","20","0",,"3","0",,"8.22413509512583","0.0",,,"36478.0","35631.0",,"218.0","0","0","0","0","0","0","86.5","31.33"
"Crenshaw","Crenshaw","Luverne","US","AL","21","0",,"0","0",,"0.0","0.0",,,"13635.0","14909.0",,"192.0","0","0","0","0","0","0","86.3","31.72"
"Cullman","Cullman","Cullman","US","AL","22","0",,"8","1",,"11.8320441335246","1.47900551669058",,,"67613.0","45572.0",,"176.0","0","1","0","1","0","0","86.83","34.17"
"Dale","Dale","Ozark","US","AL","23","0",,"1","1",,"2.01478854794189","2.01478854794189",,,"49633.0","31066.0",,"358.0","0","0","0","0","1","0","85.67","31.45"
"Dallas","Dallas","Selma","US","AL","24","0",,"7","1",,"14.543943486391","2.07770621234158",,,"48130.0","56667.0",,"326.0","0","1","1","0","0","0","87.02","32.4"
"De Kalb","De Kalb","Fort Payne","US","AL","25","0","Fyffe","34","4",,"62.2129512726208","7.31917073795539",,,"54651.0","41417.0",,"175.0","0","0","0","1","0","0","85.7","34.42"
"Elmore","Elmore","Wetumpka","US","AL","26","0",,"6","2",,"12.1926437715911","4.06421459053038",,,"49210.0","30524.0",,"252.0","0","1","1","1","0","0","86.22","32.55"
"Escambia","Escambia","Brewton","US","AL","27","0",,"3","1",,"8.44642153274396","2.81547384424799",,,"35518.0","33511.0",,"250.0","0","0","0","1","0","0","87.07","31.12"
"Etowah","Etowah","Gadsden","US","AL","28","0",,"14","1",,"14.0224358974359","1.00160256410256",,,"99840.0","96980.0",,"289.0","0","1","0","1","0","0","86.0","34.0"
"Fayette","Fayette","Fayette","US","AL","29","0",,"0","0",,"0.0","0.0",,,"17962.0","16148.0",,"209.0","0","0","0","0","0","0","87.83","33.7"
"Franklin","Franklin","Russellville","US","AL","30","0","Russellville","6","0",,"21.5718702811534","0.0",,,"27814.0","21988.0",,"206.0","0","0","0","0","0","0","87.7","34.5"
"Geneva","Geneva","Geneva","US","AL","31","0",,"1","0",,"4.2288662409608","0.0",,,"23647.0","22310.0",,"211.0","0","0","0","0","0","0","85.85","31.05"
