description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.type
"en A , par temps d'orage, une foudre en boule roule et explose dans le jardin d'une maison..","",sighting,1896-02$ThemenauAutriche,,,"",,"",Themenau (Autriche),place,""""","""",s1,"""",,""Ball Lightning"","""","""",s2,"""",,""Hit By A Meteorite / Strange Experience On A Steamer / The Brooklyn City",1896-02,event,https://rr0.org/time/1/8/9/6/index.html#1896-02
"en le mardi 7 avril Ballon mystère illuminant le sol avec une lampe électrique, gare de sur la voie ferrée Transcaspienne; observé traversant la frontière entre Russie et Persia Kiev (Russia).","",sighting,1896-04$Kaakhka,,,"",,"",Kaakhka,place,"""""""KievIianin, 1896-04-29 < Flood, Chuck"""""","""",s3,"""",,""Airships/Mystery Balloons from outside the US",1896-04,event,https://rr0.org/time/1/8/9/6/index.html#1896-04
"en le mercredi 1 juillet dans la soirée A , observation d'un ballon mystérieux survolant la ville. le vendredi 3 juillet Observation d'un ballon à environ 100 miles au-dessus de la rivière Skeena et pratiquement à 500 miles au nord de Victoria (Lat. 55° 15""; Long. 127° 40""), Colombie Britannique. Dans les environs de Blackwater Lake, au-dessus des sources de la Skeena (Colombie Britannique), observation d'un ballon.","",sighting,1896-07$WinnipegManitoba,,,"",,"",Winnipeg         (Manitoba),place,""""","""",s4,"""",,Portland (OR) Oregonian,"""","""",s5,"""",,Winnipeg (MB) Manitoba Morning Free Press,"""","""",s6,"""",,Calgary (Alberta) The Daily Herald,""""""Winnipeg (MB) Manitoba Morning Free Press, 1896-08-13, p. 2 < Flood, Chuck"""""","""",s7,"""",,""Airships/Mystery Balloons from outside the US,"""","""",s8,"""",,New York (NY) Times,"""","""",s9,"""",,Ogden (UT) Standard,"""","""",s10,"""",,Winnipeg (MB) Manitoba Morning Free Press,"""","""",s11,"""",,Calgary (Alberta) The Daily Herald,"""","""",s12,"""",,Winnipeg (MB) Manitoba Morning Free Press,"""","""",s13,"""",,Kamloops (BC) Inland Sentinel,"""","""",s14,"""",,Portland (OR) Oregonian,"""","""",s15,"""",,Seattle (WA) Post-Intelligencer,"""","""",s16,"""",,Winnipeg (MB) Manitoba Free Press,""""""Montreal (PQ) Gazette, July 21, 1897, p. 2 < Flood, Chuck"""""","""",s17,"""",,""Airships/Mystery Balloons from outside the US,"""","""",s18,"""",,New York (NY) Times,"""","""",s19,"""",,Ogden (UT) Standard,"""","""",s20,"""",,Winnipeg (MB) Manitoba Morning Free Press,"""","""",s21,"""",,Calgary (Alberta) The Daily Herald,"""","""",s22,"""",,Winnipeg (MB) Manitoba Morning Free Press,"""","""",s23,"""",,Kamloops (BC) Inland Sentinel,"""","""",s24,"""",,Winnipeg (MB) Manitoba Free Press,"""","""",s25,"""",,Portland (OR) Oregonian,"""","""",s26,"""",,Seattle (WA) Post-Intelligencer,"""","""",s27,"""",,Winnipeg (MB) Manitoba Free Press,""""""Montreal (PQ) Gazette, 1897-07-21, p. 2 < Flood, Chuck"""""","""",s28,"""",,""Airships/Mystery Balloons from outside the US",1896-07,event,https://rr0.org/time/1/8/9/6/index.html#1896-07
"en le mardi 11 août Depuis des points éloignés de , des indiens observent ce que l'on pense être le ballon de Salomon Andrée. Dans le canton de Pahaquarry, dans le comté de Warren A, un fermier pêcheur voit près de la rivière un énorme nuage blanc s'élever, puis laisser apparaître une figure qu'il interprête comme la Vierge Marie.","",sighting,1896-08$regionbc,,,"",,"",,place,""""","""",s29,"""",,""Sight Andree's Balloon"","""","""",s30,"""",,""Saw the Virgin Mary""",1896-08,event,https://rr0.org/time/1/8/9/6/index.html#1896-08
en,"",sighting,1896-10$,,"",1896-10,event,https://rr0.org/time/1/8/9/6/index.html#1896-10
en,"",sighting,1896-11$,,"",1896-11,event,https://rr0.org/time/1/8/9/6/index.html#1896-11
"en.. le mardi 15 décembre 1896 Dernière observation de cette première vague, au-dessus de. En l'espace d'un bon mois, un ovni aura défrayé la chronique dans un pays industrialisé en générant quelques 220 témoignages. le samedi 19 décembre 1896 A Deerfield (Wisconsin), une femme et son fils rencontrent un ""enfant"" à l'apparence étrange se déplaçant à une vitesse incroyable.","",sighting,1896-12$SanFrancisco,,,"",,"",San Francisco,place,""""","""",s31,"""",,""A Large Meteor Falls on the Atlantic"","""","""",s32,"""",,""Huge Meteor At Sea. / It Fell Near The Steamer Wilikommen,"""","""",s33,"""",,""Ghost of Stump Lake""",1896-12,event,https://rr0.org/time/1/8/9/6/index.html#1896-12
"Des phénomènes analogues, mettant en scène de mystérieux aéronefs, sont ensuite observés par des centaines de témoins au-dessus de 19 états du pays.","",sighting,1896$,,"",1896,event,https://rr0.org/time/1/8/9/6/index.html
"A , l'auteur Aleister Crowley marche dans la montagne lorsqu'il voit soudain 2 petits hommes. Il leur fait signe, mais ceux-ci ne semblent pas lui prêter attention et disparaissent dans les rochers.","",sighting,1896$ArollaSuisse,,,"",,"",Arolla (Suisse),place,""""","""",s34,"""",,Aleister Crowley",1896,event,https://rr0.org/time/1/8/9/6/index.html
A chute d'un bloc de glace contenant une carpe congelée.,"",sighting,1896$EssenAllemagne,,,"",,"",Essen (Allemagne),place,"",1896,event,https://rr0.org/time/1/8/9/6/index.html
"De prétendus inventeurs de l'engin ne tardent pas à en revendiquer la paternité. Cependant, plusieurs airships vont continuer à survoler la Californie jusqu'à la fin de l'année, ainsi que quelques lumières volantes.","",sighting,1896$,,"",1896,event,https://rr0.org/time/1/8/9/6/index.html
