description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
lundi 1 janvier L'article AP de Bob Wilson préparé la veille paraît dans les journaux américains. Des scientifiques de New York déclarent que ce que les Foo Fighters que les aviateurs ont vu en Allemagne étaient des feux de Saint Elme. Les aviateurs du 415ᵉ escadron témoin sont scandalisés : Laissez-les juste venir ici et faire une mission de vol avec nous. On leur montrera.,"",sighting,1945-01$,,""""","""",s1,"""",,McClure 2001",1945-01,event,https://rr0.org/time/1/9/4/5/index.html#1945-01
"dimanche 11 février Franklin Delano Roosevelt rencontre Winston Churchill et Joseph Staline à la conférence de Yalta. Signature du traité de l'opération Paperclip afin de préparer l'après-guerre, mais dans une violation flagrante et précoce des accords de Yalta. Ce traité, conclu par les chefs d'État anglais, américain et russe, place l'usine allemande des V2 de Dora-Mittlebau sous contrôle russe. Pourtant, les services secrets américains décident de faire main basse sur tout ce qui peut être pris dans l'usine.","",sighting,1945-02$,,"",1945-02,event,https://rr0.org/time/1/9/4/5/index.html#1945-02
"À , 1 soldat américain voit 1 objet en forme de disque descendre rapidement. Il oscille et atterrit. L'endroit ne peut être localisé dans la nuit. L'événement se produit à 35 km nord-ouest de la ville.","",sighting,1945$HabbebishopsheimAllemagne,,,"",,"",Habbebishopsheim (Allemagne),"",place,""""","""",s2,"""",,ATIC",1945,event,https://rr0.org/time/1/9/4/5/index.html
"À , 1 homme en train de chasser observe 1 objet allongé volant très lentement, incliné vers la terre. Il brise quelques arbres au bout d'une clairière. L'énorme engin ne semble pas endommagé. Il reste brièvement au sol, puis remonte avec un bourdonnement, se met à tourner sur lui-même, lâche une averse de fils argentés et s'élève verticalement, disparaissant Pquelques secondes. Dans les Iles Aléoutiennes, à bord du transport de troupes U.S. Delarof, 14 marins voient une sphère sombre s'élevant de l'océan, suivant une trajectoire curviligne et s'envolant après avoir décrit un cercle autour du navire.","",sighting,1945-03$BelfastMaine,,,"",,"",Belfast (Maine),"",place,""""","""",s3,"""",,FSR,"""","""",s4,"""",,Evidence",1945-03,event,https://rr0.org/time/1/9/4/5/index.html#1945-03
"jeudi 12 avril Harry S. Truman est nommé président des Etats-Unis suite à la mort de Roosevelt. vendredi 20 avril À le curé (39 ans), parti à la cueillette des champignons. Alors qu'il est agenouillé, il se trouve soudain nez à nez avec un petit homme de moins de 20 cm et d'au moins 75 ans, habillé d'une combinaison marron/vert (kaki), équipé d'un pic dans le dos de plus de 10 centimètres, interprêté comme une antenne. Le personnage disparaît 10 secondes. Dans les années 1950s le GEPA conclut à un E.T. En 1983 il fait la connaissance d'enquêteurs de l'ADRUP qui mènent une enquête avec Thierry Rocher du GEPO et découvrent en contactant le Ministère de la Défense qu'à proximité se trouvait un régiment de tirailleurs sénégalais. En appelant un de ses soldats, ils apprennent que leur mascotte, un ouistiti pygmée de 17 cm dont la queue dépassant de la combinaison a pu être prise pour une antenne.","",sighting,1945-04$ReneveCotedOr,,,"",,"",Renève (Côte-d'Or),"",place,"""Figuet,Ruchon"","""",s5,"""",,Le dossier des rencontres rapprochées en France,""""""Zurcher, Eric"""""","""",s6,"""",,cas n° 8,""Patrick Geoffroy"","""",s7,"""",,""1945 l'humanoïde de Renève""",1945-04,event,https://rr0.org/time/1/9/4/5/index.html#1945-04
"mercredi 2 mai Wernher VonBraun et son équipe sont récupérés du site de Dora-Mittlebau par les alliés. mai Le dernier convoi de camions du colonel Holger Toftoy quitte le site de Dora-Mittlebau, quelques heures à peine avant l'arrivée des troupes soviétiques. Les éléments saisis sont d'abord acheminés à Anvers, puis transportés par bateau jusqu'à la Nouvelle-Orléans, pour finir leur transit secret au sein de l'arsenal Redstone dans l'Etat de l'Alabama. Pour calmer la colère des soviétiques, les américains promettent de rendre ce qu'ils ont pris, mais envoient en lieu et place un chargement de pièces de tracteur défectueuses. L'immédiate issue de la 2de guerre mondiale a donné le sentiment d'une relative entente entre russes et américains. Cette opération coup de poing est l'un des nombreux incidents qui vont alimenter de manière souterraine le terreau d'une terrible guerre froide.","",sighting,1945-05$,,"",1945-05,event,https://rr0.org/time/1/9/4/5/index.html#1945-05
"À , photo de Jack LeMonde. 20 À Sørreisa (Norvège), E. P. B. entend un sifflement et tente d'en trouver l'origine. Il aperçoit 5 objets sombres (qu'il pense être dans 1er temps des boulets de canon ou quelque chose d'autre) qui vont très vite, plus vite qu'un appareil de 1945. Vus devant une couverture de nuages en hauteur, les objets conserveront toujours la même distance entre eux. Ils sont observés entre P15S/P20S, allant de plus en plus loin, tout le temps selon une trajectoire ondulée.","",sighting,1945-06$BurbankCalifornie,,,"",,"",Burbank (Californie),"",place,""""","""",s8,"""",,Lettres de E. P. B.,"""","""",s9,"""",,UFO report form",1945-06,event,https://rr0.org/time/1/9/4/5/index.html#1945-06
"dimanche 1 juillet Création du département T-2 au sein de l'AAF, qui entame le mouvement vers une intégration équilibrée entre ingéniérie et renseignement aérien technique. lundi 16 juillet à 05:30 Premier essai de la bombe atomique à Trinité (opération Trinity).","",sighting,1945-07$,,"",1945-07,event,https://rr0.org/time/1/9/4/5/index.html#1945-07
"À , un vieux fermier observe durant plusieurs nuits d'affilée un nuage se déplaçant vers le sol au-dessus de son champ. Le nuage est rouge brillant et s'approche près des barrières. A une barrière deux nuages illuminés apparaissent qui se déplacent l'un vers l'autre, s'immobilisent, puis disparaissent soudainement. Plusieurs personnes, situées à distance, déclareront penser que les lumières de l'objet étaient les lumières de leurs maisons et qu'ils furent trompés sur le chemin de leur foyer.","",sighting,1945$VetisRoumanie,,,"",,"",Vetis (Roumanie),"",place,"""""""Hobana, Ion"""",Julien Weverbergh"","""",s10,"""",,UFO's Behind the Iron Curtain",1945,event,https://rr0.org/time/1/9/4/5/index.html
"A , Par une nuit claire et chaude, un trainstation watchman nommé C. Tîîu est en faction. Après avoir stoppé le train, il se rend au bureau pour téléphoner. Alors qu'il revient à la plate-forme, tout derrière lui s'illumine. Il se retourne et voit un grand objet rouge dans le ciel, plus grand que la Lune et bien plus brillant. Il est au-dessus de l'horizon et se dirige vers l'ouest, à une distance de 70 à 80 m. Le garde de la gare le voit aussi. Le temps que Tîrulescu rentre à l'intérieur pour récupérer son collègue et revienne dehors, l'objet est parti 28 Observation de Léonard H. Stringfield.","",sighting,1945-08$VulcanestiCriaovaRoumanie,,,"",,"","Vulcânesti, Criaova (Roumanie)","",place,"""Ion Hobana,Julien Weverbergh"","""",s11,"""",,UFO's Behind the Iron Curtain.",1945-08,event,https://rr0.org/time/1/9/4/5/index.html#1945-08
"Couverture d'Amazing Stories ce mois-là mercredi 5 décembre 1945 Dans l'après midi, disparition du vol 19.","",sighting,1945-12$,,"",1945-12,event,https://rr0.org/time/1/9/4/5/index.html#1945-12
", Linnea (même témoin que pour l'observation de Kristiansand 1939), voit 3 ""bulles"" des couleurs de l'arc-en-ciel au-dessus d'une colline à l'ouest de la ville. Elles manœuvrent autour pendant un moment, puis disparaissent à l'ouest.","",sighting,1945$KristiansandNorvege,,,"",,"",Kristiansand (Norvège),"",place,""""","""",s12,"""",,UFO-NYT",1945,event,https://rr0.org/time/1/9/4/5/index.html
"Alors qu'elle programme le 1er ordinateur électromécanique, le Mark 1 de Howard Aïken, madame le capitaine Grace Hopper a à résoudre le premier ""bug"" (insecte) de l'histoire du logiciel. Tandis que nous travaillions dans un immeuble non climatisé par une journée d'été chaude et humide, l'ordinateur s'arrêta. Nous finîmes par découvrir à l'intérieur d'un gros relais à signal un papillon de nuit grillé. Depuis ce jour, lorsqu'un officier entrait et nous demandait où en étaient nos travaux, nous lui répondions que nous ""déboguions"" le calculateur.","",sighting,1945$,,"",1945,event,https://rr0.org/time/1/9/4/5/index.html
