url,place,time,description,sources
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"A la base de l'USAF de Sidi Slimane (Maroc français), observation des lieutenant-colonel William Moore et le 1er lieutenant J. H. McInnis Cas Blue Book non résolu.",""
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"Sergei Korolev annonce dans une note de service que le lancement d'un satellite élémentaire Prosteïchi Spoutnik ce qui donnera le signe russe ""PS"" est envisagé au moyen de la fusée R7, projet de lanceur élaboré par Serguei Korolev.",""
https://rr0.org/time/1/9/5/3/09/index.html#04%2021:30,,NaN-04 21:30,"À Tonnerre (France), 1 femme voit 2 objets au sol et 3 petits hommes de 1,50 m de haut avec une tête énorme, portant un casque et des bottes ; ils courent en direction des engins. L'un entre dans l'objet de forme allogée, 5 m de long sur 1,5 m de large, qui étend des ailes à la manière d'un papillon. Il se met en position verticale, reposant sur un trépied et décolle, ainsi que l'objet sphérique où les 2 autres créatures ont pris place. On trouve des traces de l'emplacement de l'oservation GEPA 68,1.",""
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"Edward J. Ruppelt, directeur du projet Blue Book, est relevé de ses fonctions et quitte l'armée.",""
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"A Brovst (Danemark), tentative d'enlèvement d'une jeune fille par 2 humanoïdes émettant une lumière dorée. Leurs mains soent rugueuses et froides comme la peau d'un poisson Guieu, Jimmy:.",""
https://rr0.org/time/1/9/5/3/09/index.html#14/17,,NaN-14,"Dans les îles Britanniques, un grand nombre de télespectateurs voient sur leur écran de télévision le sigle et l'indicatif d'un émetteur de Houston (Texas) : KLEE Les émetteurs locaux ne parviennent pas à juguler cette interférence trop prononcée, qui dure 3 à 4 mn chaque fois. Vérification faite, cet émetteur n'existe plus depuis 3 ans. Un porte-parole de la B. B. C. déclare aux journalistes que dans cette affaire, nous nous trouvons devant des circonstances qui contredisent tout ce que l'on sait de l'émission de télévision. Il est inconcevable que ces signaux aient pu faire le tour de la Terre depuis cet émetteur qui les a diffusées pour la dernière fois 3 années auparavant. Il est matériellement impossible qu'ils aient été réfléchis par hasard, par quelque corps céleste, dans notre direction, à une si grande distance. Ce qui ne laisse qu'une possibilité, quelque bizarre qu'elle soit, à savoir que ces signaux nous aient été renvoyés volontairement par des gens intelligents d'une origine inconnue et pour des raisons présentement impossibles à déterminer.",""
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"Le New York Times publie un article relatant la visite officielle du lieutenant-général Donald Leander Putt de l'ARDC sur le site la compagnie Avro à Malton, où il rencontre le docteur Omond M. Solandt du DRB canadien, et se déclare impressionné par la maquette d'un appareil VTOL du ""Projet Y"".",""
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"À Drummondville (Québec, Canada), un habitant voit 5 ""disques"" argentés, volant en forme de triangle, et se déplaçant très haut et à une vitesse foudroyante ""Soucoupes volantes"", La Parole, 17 sep 1953 < Rioux, Maxime: ""Invasion d""ovnis"", L'Express, 16 avril 2010.",""
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"Publication en Grande-Bretagne de livre de Adamski et Leslie Adamski, George & Leslie, Desmond: Flying Saucers Have Landed, 1953.",""
https://rr0.org/time/1/9/5/3/09/index.html,,1953-09,"À Baltimore (Maryland), la nuit, l'astronome James C. Bartlett repère à l'œil nu 4 grandes lumières. Avec des jumelles, il observe les lumières sortir du nez de 2 énormes appareils cylindriques ou en forme de cigare. Il observe une carlingue dans le nez et des ouvertures sur les côtés des coques dans chaque appareil.",""
