description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent,place.org.parent.places,place.org.parent.type,place.org.places,place.org.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.type,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent,place.place,place.org.parent.parent.parent
"(début du mois ou juillet) Près de , observation d'un disque décollant d'un champ.","",1965-08,Marmande,,,,"",,"","""""""Marmande"","""",s1,"""",Paris Jour,1965-08-03,une soucoupe a atterri""",1965-08,case,https://rr0.org/time/1/9/6/5/08/index.html
"le , plusieurs patrouilles de police décrivent des objets lumineux inconnus maintenant une formation en losange. L'observation dure en 40. Les différents bureaux d'Oklahoma City reçoivent durant la nuit près de 30 signalements.","",1965-08-01T21:00,"Shawnee, Oklahoma",,,,"",,"","",1965-08-01T21:00,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-01T21:00
le Le phénomène tel qu'il aurait été photographié le 2 août à Photographie de Tulsa,"",1965-08-02T01:45,Tulsa (Oklahoma),,,,"",,"","",1965-08-02T01:45,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-02T01:45
"le Alors qu'il roule sur l'autoroute de , le cantonnier Rex Heflin observe un ovni en forme de disque. Il s'arrête et le photographie. Il se rend alors compte qu'il s'agit d'un disque surmonté d'un dôme non ovoïde (comme un chapeau). La photographie sera authentifiée par l'USAF.","",1965-08-03,Santa Ana (Log        Angeles),,,,"",,"","",1965-08-03,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-03
"le en 21 A , témoin (19 ans), voit 1 lumière voler rapidement et horizontalement durant P12S. en 23 A Tinley Park, Illinois, 2 adolescents de 14 ans voient une lumière de déplacer dans le ciel durant P16S à P17S. en 1 Le camionneur témoin, du Nebraska, fait route au nord vers Abilene avec un chargement de céréales. Un ovni descend du ciel au-dessus de son camion puis se pose sur la route devant lui. Une voirture, venant en sens inverse, contourne l'engin et s'arrête dans un crissement de pneus. Tenopir écrase la pédale de frein. Ses phares cessent de fonctionner, bien que son semi-remorque GMC Diesel continue de rouler : l'ovni se déplace et les phares du camion se remettent en marche. Tenopir peut maintenant voir l'objet : 1 disque (surmonté d'une coupole) d'environ 4 m de diamètre, stationnant à quelques mètres du sol. Il y a des fenêtres carrées sur le dessus. Mort de peur, Tenopir ne bouge pas de sa cabine, mais le conducteur de la voiture en sort et s'approche de lui. Avant qu'ils ne puissent s'entretenir, l'ovni projette des étincelles d'où il est et décolle avec grand bruit. Les 2 conducteurs s'enfuient. Tenopir raconte l'incident à la police d'Abilene, mais ni la ville, ni l'Etat, ni le gouvernement ni les autorités militaires n'y donnent suite. L'affaire ressemble d'intéressante manière à la rencontre qui se produisit dans le Hampshire (Angleterre) en novembre 1967.","",1965-08-04,"Dallas, Texas",,,,"",,"",""""","""",s2,"""",,9675,,"""","""",s3,"""",,9680,",1965-08-04,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-04
le Dans le comté de les frères Lucci prennent 2 photos d'un objet lumineux non-identifié.,"",1965-08-08,"Beaver, Pennsylvanie",,,,"",,"","",1965-08-08,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-08
"le en 21 Dans le sud-est de la France, plusieurs dizaines de personnes (dont 25 identifiés) sur 38 sites observent des phénomènes multiples, allant dans toutes les directions. en 21 A , plusieurs personnes voient pendant quelques s un ""cigare"" lumineux vert et rouge, laissant derrière lui une longue traînée fluorescente, se déplaçant du nord-ouest vers le sud-est. en 21 A Bertholène (Aveyron), plusieurs personnes voient pendant en 7 à en 8 une boule verte semblant descendre sans traînée pour disparaître vers l'est-sud-est. en 21 A Castres (Tarn), sur la route de Revel, un automobiliste voit une boule (ou une ""roue"") verte traverser la chaussée juste devant lui, au niveau du sol, et passer entre deux platanes.","",1965-08-16,Labastide de Rouairoux (Tarn),,,,"",,"",""""","""",s4,"""",,,PS,"""","""",s5,"""",,13,,"""","""",s6,"""",,287-28,,"""","""",s7,"""",Les ovnis.com,,""Rencontres et Observations Ovnis dans la Région Midi-Pyrénées"","""","""",s8,"""",Les ovnis.com,,""Rencontres et Observations Ovnis dans la Région Midi-Pyrénées"","""","""",s9,"""",Les ovnis.com,,""Rencontres et Observations Ovnis dans la Région Midi-Pyrénées""",1965-08-16,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-16
"le , Mme témoin, son fils Harold (17 ans) et un enfant voient 1 grand phénomène elliptique, avec de la vapeur rougeâtre sous lui, s'approcher du sol. Lorsque l'objet est au sol, un bip continu est entendu. Peu après, un odeur étrange est remarqué. Puis tout d'un coup l'objet part dans les nuages, quelques secondes plus tard. Radio est distordue par des effets statiques, le moteur d'un tracteur s'arrête.","",1965-08-19T20:20,"Cheffy Creek, New York",,,,"",,"",""""","""",s10,"""",,9806,",1965-08-19T20:20,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-19T20:20
"le Un liquide pourpre, des marques de 2x2 pouces et des et morceaux d'herbe sont trouvés sur le site de l'observation de la veille. Un taureau beugle et tente de rompre ses liens.","",1965-08-20,,"",1965-08-20,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-20
"le , M. témoin, témoin et témoin voient une boule blanche de 2 m à 2 m de diamètre, suivie par une lumière de 1 m à 1 m, percuter la route à 100 pieds devant la voiture des témoins, rebondir et s'envoler au loin. L'observation a duré en 3 à en 4.","",1965-08-30T22:30,Urbana (Ohio),,,,"",,"",""""","""",s11,"""",,9864,",1965-08-30T22:30,case,https://rr0.org/time/1/9/6/5/08/index.html#1965-08-30T22:30
"A , des milliers de personnes se promenant dans les rues voient des chasseurs à réaction poursuivre vainement 7 ovnis. La station de radar de la presqu'île de Keweenaw confirme la présence dans le ciel des avions à réaction comme des ovnis.","",1965-08,Duluth (Minnesota),,,,"",,"","""""""Edwards, Frank"""""","""",s12,"""",chap. 1 de Soucoupes Volantes - Affaire sérieuse,11-12,""Que se passe-t-il ici ?""",1965-08,case,https://rr0.org/time/1/9/6/5/08/index.html
