description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
Nixon choisit la navette pour remplacer les lanceurs civils américains.,"",sighting,1972-01$,,"",1972-01,event,https://rr0.org/time/1/9/7/2/index.html#1972-01
Accord de coopération entre CII et Siemens pour élaborer une gamme commune. Philips se dit prêt à collaborer.,"",sighting,1972-02$,,"",1972-02,event,https://rr0.org/time/1/9/7/2/index.html#1972-02
,"",sighting,1972-03$,,"",1972-03,event,https://rr0.org/time/1/9/7/2/index.html#1972-03
,"",sighting,1972-04$,,"",1972-04,event,https://rr0.org/time/1/9/7/2/index.html#1972-04
A un ovni est décrit atterrissant et laissant des traces sur le bitume (ci-contre). Traces sur le bitume après l'atterrissage d'un ovni à Rosemead (Afrique du Sud),"",sighting,1972$RosemeadAfriqueDuSud,,,"",,"",Rosemead (Afrique du Sud),"",place,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Stuart Nixon et Richard J. Greenwell se réunissent durant 3 jours pour discuter des moyens de chercher des relations coopératives entre le NICAP et l'APRO, et des manières dont les organisations pourraient diriger leurs programmes de recherche afin d'éviter une redondance inutile. vendredi 5 mai à 22:15 A , Aarno Heinonen (Ayant fait une observation en 1970) est chez lui lorsqu'il entend un bruit étrange, puis une voix féminine qui lui dit de se rendre seul à un certain carrefour. Il le fait et rencontre là une fille humanoïde 4 pieds 8 pouces de haut aux cheveux blonds, portant un pantalon jaune qui semble luir, et des chaussures couleur argent. Elle porte par une poignée une boule argentée sur laquelle se trouvent 3 antennes comme des projections. Elle lui dit que son peuple est venu de lq>e côté de la Voie Lactée et q> types différents d'humanoïdes, allant de très petits à très grands, ont visité Imjarvi. Elle lui dit aussi qu'elle a 180 ans, et lui demande de ne paler du contact avec personne d'autre.","",sighting,1972-05$ImjarviFinlande,,,"",,"",Imjarvi (Finlande),"",place,""""","""",s1,"""",,""NICAP and APRO Take Major Step Toward Improved Relations"","""","""",s2,"""",,,"""","""",s3,"""",,UFO Research Center of Finland & Joe Brill",1972-05,event,https://rr0.org/time/1/9/7/2/index.html#1972-05
"Eté juillet mardi 18 juillet Au , récupération de 3 corps suite à un crash. Début de la mission Skylab-3. dimanche 23 juillet Lancement du 1er satellite Landsat destiné à l'observation des ressources terrestres. mardi 25 juillet A Bagnacavallo (Italie), observation d'un phénomène rectangulaire avec une partie supérieure bombée. août Serveur IBM Système 370. Cette gamme de systèmes intermédiaires inaugure le concept de mémoire virtuelle. Ce dernier va être repris par toute l'offre concurrente dans les années qui vont suivre.","",sighting,1972-06$countryma,,,"",,"",,"",place,""""","""",s4,"""",,,"""","""",s5,"""",,",1972-06,event,https://rr0.org/time/1/9/7/2/index.html#1972-06
"Le gouvernement de Pierre Mesmer étudie un projet de loi pour créer un ""tribunal de l'informatique"", prémisse de la CNIL (Commission Nationale Informatique et Libertés).","",sighting,1972-09$,,"",1972-09,event,https://rr0.org/time/1/9/7/2/index.html#1972-09
"A Vienne, le Congrès International d'Astronautique appuie l'idée de l'existence d'autres intelligences dans l'univers.","",sighting,1972-10$,,"",1972-10,event,https://rr0.org/time/1/9/7/2/index.html#1972-10
,"",sighting,1972-11$,,"",1972-11,event,https://rr0.org/time/1/9/7/2/index.html#1972-11
,"",sighting,1972-12$,,"",1972-12,event,https://rr0.org/time/1/9/7/2/index.html#1972-12
