caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
24536,https://nuforc.org/sighting/?id=24536,St. Louis,MO,USA,1977-03-11 13:00,Circle,Object was seen on a clear day no clouds except for a hazy disturbance around the object at a distance of about 1 mile. object appeared,2002-08-17T22:00:00.000Z,2002-08-27T22:00:00.000Z,false
30427,https://nuforc.org/sighting/?id=30427,Brea,CA,USA,1977-03-15 22:00,Formation,Night-time flight of lights changes formation suddenly.,2003-07-28T22:00:00.000Z,2003-07-31T22:00:00.000Z,false
35029,https://nuforc.org/sighting/?id=35029,Stevens Pass (ski resort),WA,USA,1977-03-15 20:30,Sphere,Scintillating orange sphere; exhibits near-instantaneous acceleration from stationary,2004-02-12T23:00:00.000Z,2004-03-01T23:00:00.000Z,false
36857,https://nuforc.org/sighting/?id=36857,Minneola,FL,USA,1977-03-20 11:00,Cigar,The strangest thing I have ever seen.,2004-05-11T22:00:00.000Z,2004-06-03T22:00:00.000Z,false
42399,https://nuforc.org/sighting/?id=42399,Terre Haute,IN,USA,1977-03-01 12:12,Unknown,Noise and extreme light outside my windows,2005-02-24T23:00:00.000Z,2005-04-15T22:00:00.000Z,false
43080,https://nuforc.org/sighting/?id=43080,Lake Worth,TX,USA,1977-03-19 19:00,Chevron,Naval Air Station UFO,2005-03-18T23:00:00.000Z,2005-04-15T22:00:00.000Z,false
43734,https://nuforc.org/sighting/?id=43734,West Hawk Lake (Canada),MB,Canada,1977-03-27 00:00,Oval,One yellow oval light observed high in the sky moving due North at a high clip (rate) of speed.,2005-04-29T22:00:00.000Z,2005-05-10T22:00:00.000Z,false
43943,https://nuforc.org/sighting/?id=43943,Cebu (Philippines),,Philippines,1977-03-04 20:00,Rectangle,im came from philippines now im here in the philadelphia.when i was 4 to 5 years old that is 1977.i seen a strange person in the dark m,2005-05-12T22:00:00.000Z,2005-05-23T22:00:00.000Z,false
49035,https://nuforc.org/sighting/?id=49035,Los Angeles,CA,USA,1977-03-17 18:00,Disk,I could see vehicles driving eastbound on the 134 freeway & the UFOs passing over the top of them.,2006-02-05T23:00:00.000Z,2006-02-13T23:00:00.000Z,false
53945,https://nuforc.org/sighting/?id=53945,Hometown,PA,USA,1977-03-02 20:45,Triangle,"loud triangular craft with 3 lights over rural Schuylkill County, PA in 1977",2006-12-11T23:00:00.000Z,2006-12-13T23:00:00.000Z,false
62090,https://nuforc.org/sighting/?id=62090,Los Angeles,CA,USA,1977-03-19 20:30,Other,White lights w/blue halo over Santa Monica Fwy.,2008-03-06T23:00:00.000Z,2008-03-30T22:00:00.000Z,false
62869,https://nuforc.org/sighting/?id=62869,Ridgway,IL,USA,1977-03-20 20:00,Rectangle,"rectangular in shape with a dimly glowing red globe on each end, hovering at 150 ft. , football field sized",2008-04-23T22:00:00.000Z,2008-06-11T22:00:00.000Z,false
68313,https://nuforc.org/sighting/?id=68313,Southgate,MI,USA,1977-03-27 10:00,Disk,"Round aircraft, high in sky, had depth or height to it, square windows that spun fast with lights round and round - 100's witnesses",2009-01-27T23:00:00.000Z,2009-03-18T23:00:00.000Z,false
106317,https://nuforc.org/sighting/?id=106317,Hamlet,IL,USA,1977-03-01 20:00,Sphere,UFO AT THE FARM.,2014-01-14T23:00:00.000Z,2014-01-15T23:00:00.000Z,false
127044,https://nuforc.org/sighting/?id=127044,Grand Forks,ND,USA,1977-03-27 22:00,Unknown,Lights in the sky that came to us.,2016-04-24T22:00:00.000Z,2016-04-28T22:00:00.000Z,false
129528,https://nuforc.org/sighting/?id=129528,St. Albans,WV,USA,1977-03-01 10:00,Circle,I saw a white circular object hover in the air and dart behind a cloud.,2016-08-26T22:00:00.000Z,2016-08-28T22:00:00.000Z,false
135209,https://nuforc.org/sighting/?id=135209,Macon,GA,USA,1977-03-15 05:30,Unknown,Early 1977 at the GA Acad. for the Blind in Macon.  I heard a trumpet fanfare.  ((NUFORC Note:  Possible abduction.  PD)),2017-07-16T22:00:00.000Z,2017-07-22T22:00:00.000Z,false
152144,https://nuforc.org/sighting/?id=152144,Ocala National Forest,FL,USA,1977-03-26 20:00,Light,Blinding bright light over Travel Trailer no noise,2019-12-31T23:00:00.000Z,2020-02-06T23:00:00.000Z,false
152877,https://nuforc.org/sighting/?id=152877,Fort Knox,KY,USA,1977-03-15 00:00,Oval,white spheres on military base no sound moved very slow,2020-01-25T23:00:00.000Z,2020-01-30T23:00:00.000Z,false
166066,https://nuforc.org/sighting/?id=166066,Riverside,CA,USA,1977-03-14 15:00,Circle,we looked up in the sky and saw 3 large metallic looking discs hovering way up in the sky. they did not move for an hour,2022-01-07T23:00:00.000Z,2022-03-03T23:00:00.000Z,false
175010,https://nuforc.org/sighting/?id=175010,Isabel,KS,USA,1977-03-04 01:00,Light,"I watched through my bedroom window 4 lights come together one at a time above my house, hover for a while then leave one at a time.",2023-03-14T23:00:00.000Z,2023-04-08T22:00:00.000Z,false
