;;Moon;Sun;Planets;Stars;Meteorits;BorealAuroras;OrbitingSatellites;AtmosphericSatellitesReentry;RocketLaunch;StratosphericBalloons;Clouds;NoctiluscentsClouds;IsolatedClouds;Lightning;BallLightning;HighAltitudePlanes;LowAltitudePlanes;Helicopters;WeatherBalloonsOrMongolfieres;Parachute;Birds;Insects;SwampGas;Smokes;Kite;OpticalIllusions;Mirages;Hallucination;PureInvention;TerrestrialVehicle;Boat;SpotlightsOnClouds;SmallObjectsFloatingInWind
HynekClassification.NocturnalLight;java.awt.CheckboxGroup;1;0;1;1;1;1;1;1;1;0,5;0,5;1;0,5;1;1;1;1;1;0,5;0,5;0;0;1;0,5;0,5;1;1;1;1;1;1;1;0,1
HynekClassification.DaylightDisc;java.awt.CheckboxGroup;0;1;0,1;0;0;0;0;0,5;1;1;1;0;1;1;1;1;0,1;0,5;0,5;0,5;0,5;0,1;0;0,5;0,1;0,5;1;1;1;0;0;0;1
HynekClassification.RadarVisual;java.awt.CheckboxGroup;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0,1;0,1;1;1;1;1;1;0,5;0;0;0;0,1;0;0,5;0;0;0,1;0,1;0;0
HynekClassification.CloseEncounter1;java.awt.CheckboxGroup;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0,5;1;0;0,5;0,1;1;1;1;1;1;1;0,5;0;0;1;1;1;0,5;0,5;0,1
HynekClassification.CloseEncounter2;java.awt.CheckboxGroup;0;0;0;0;0;0;0;0;0;0,5;0;0;0;1;1;0;0,1;0,1;0;0;0;0;0,1;0,1;0;0,1;0,1;1;1;0;0;0;0
HynekClassification.CloseEncounter3;java.awt.CheckboxGroup;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,5;0;0;0;0;0;0;0;1;1;1;0,1;0;0
Date.MatchingGivenEventOrAstronomicalEphemerid;java.awt.Checkbox;1;1;1;1;1;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0,5
Date.Recurrent;java.awt.Checkbox;1;1;1;1;1;0,5;0,5;0,1;0,1;0,1;1;1;1;1;1;1;0,1;0,1;1;0,1;0,1;0;0;0,5;0,1;0,1;0,1;1;1;0,5;0,5;1;0,1
Date.AnyAndNonVisibleCelestialBody;java.awt.Checkbox;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Place.FarFromGivenSite;java.awt.CheckboxGroup;1;1;1;1;1;1;1;1;0;0,5;0,5;1;1;1;1;1;0,5;0,5;0,1;0,5;1;1;0;0;1;1;0,5;1;1;0,5;0,5;1;0,5
Place.NearGivenSite;java.awt.CheckboxGroup;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,5;1;1
Place.ALotOfSightingsOnTerritoryAtSameTime;java.awt.Checkbox;1;1;1;1;1;1;1;1;1;1;1;1;0,1;0,1;0;0,5;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0
