description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.type,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.places,place.org.parent.type,place.org.parent.parent,place.org.parent.parent.parent
"vers le , des personnes observent dans le ciel 1 boule lumineuse de la forme d'un ballon de rugby, d'abord immobile pendant en 20, puis se déplaçant très lentement alors qu'un bruit de brassage d'air que les témoins décrivent comme un bruit de ventilateur. Cette boule s'éloigne plein ouest. L'observation se poursuit presque en 1 avant d'être abandonnée par les témoins ( L'hypothèse de l'évolution de nuit d'un hélicoptère léger est cohérente avec les témoignages et ne doit pas être écartée bien qu'elle n'ait pas été vérifiée).","",1980~-04~-02~T23~:30,"Conflant-Sainte Honorine, Yvelines",,,,"",,"","""GEPAN"","""",s1,"""",,,PAN classé C",1980~-04~-02~T23~:30,case,https://rr0.org/time/1/9/8/0/04/index.html#1980~-04~-02~T23~:30
Observation du 4 à Charleston Observation du 4 à Charleston le,"",1980-04-04,,"",1980-04-04,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-04
"Depuis une localité du sud-ouest de la Colombie, observation d'un phénomène en forme de 8, duuel se détache une sorte de soucoupe qui laisse échapper une traînée de fumée ou de vapeur. On note des perturbations dans le réseau électrique et dans le fonctionnement du téléphone.","",1980-04,,"""""""Radio """"""""Caracol"""""""", Bogota < """"""""Colombie"""""","""",s2,"""",Le Progr ès,06,Un ovni en 'huit' coupe le téléphone""",1980-04,case,https://rr0.org/time/1/9/8/0/04/index.html
"vers le Au , un témoin observe 1 boule lumineux blanc montant par saccades dans le ciel et laissant derrière elle une traînée blanche. Après être monté, le phénomène part à l'horizontale à très grande vitesse avant de disparaitre.","",1980~-04~-05~T22~:45,"Chesnay, Yvelines",,,,"",,"","""GEPAN"","""",s3,"""",,,PAN classé D",1980~-04~-05~T22~:45,case,https://rr0.org/time/1/9/8/0/04/index.html#1980~-04~-05~T22~:45
"le , 2 personnes circulant sur une départementale aperçoivent 1 lumière rouge orangé qui se déplace en suivant le cours d'une rivière. Cette boule, d'un diamètre estimé à 1,50 m, se déplace au ras du sol par bonds successifs de quelques mètres. Subitement cette boule chute et s'immobilise à 80 m du véhicule. Une voiture arrivant en sens inverse, la boule prend de l'altitude et disparaît à grande vitesse. Prise de panique, la conductrice fait demi-tour et se rend à la gendarmerie.","",1980-04-07T02:00,"Louhans, Saône-et-Loire",,,,"",,"","""GEPAN"","""",s4,"""",,,PAN classé C",1980-04-07T02:00,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-07T02:00
"le Dans la région de , 2 témoins voient 1 boule lumineuse immobile ou se déplaçant très lentement. Un autre femme déclare avoir été poursuivie par une sphère orange alors qu'elle rentrait chez elle en voiture. 2 habitants de Kembs, alertés par la jeune femme affolée, observent également le phénomène dont la couleur a viré en se rapprochant et qui a pris la forme d'une ""soucoupe volante"".","",1980-04-09T23:00,Kembs,,,,"",,"",""""","""",s5,"""",Le Progrès,13,""Une Alsacienne poursuivie par une sphère orange...""",1980-04-09T23:00,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-09T23:00
"le Ronald Reagan est élu Président des Etats-Unis. vers le vendredi 11 07:15 Un pilote de abat un objet volant non identifié ressemblant à un ballon. vers 23 A Soultz-sous-Forêts, Bas Rhin, plusieurs témoins observent au nord-ouest 1 boule rouge orangé d'un diamètre de 20 cm se déplaçant à grande vitesse et s'immobilisant. Le phénomène, qui change de teintes et de forme, finit par changer de direction et s'éloigner vers le nord-est pour disparaître complètement à en avril 1980 (Les conditions météorologiques étaient bonnes et permettaient une parfaite visibilité. Selon le GEPAN les mouvements observés ne permettent à priori pas de retenir un hypothèse astronomique pour ce phénomène qui reste inexpliqué.).","",1980-04-11,La Joya (Peru),,,,"",,"","""GEPAN"","""",s6,"""",,,PAN classé D",1980-04-11,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-11
"le (Dimanche de Pâques) vers le dimanche 13 04:45 A , un témoin se rendant à pied à son travail est surpris par l'apparition dans le ciel de 1 boule de couleur verte très lumineuse qui se déplace selon une trajectoire sud-nord à très basse altitude, suivie d'une gerbe d'étincelles jaunes. L'observation a duré moins de 5 s et aucun bruit n'a été remarqué. en avril 1980 À Metz, Moselle, depuis leur résidence 2 personnes observent dans le ciel des points lumineux se déplaçant rapidement à haute altitude dans une direction nord-sud. Ces points émettent une lumière blanche clignotante (Selon le GEPAN il est probable qu'il s'agissait d'un passage d'avion en haute altitude).","",1980-04-13,"Vincennes, Val-de-Marne",,,,"",,"",""""","""",s7,"""",,,Selon le GEPAN cette personne a probablement été témoin d'une rentrée atmosphérique,""GEPAN"","""",s8,"""",,,PAN classé B,""GEPAN"","""",s9,"""",,,PAN classé B",1980-04-13,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-13
"le le lundi 14 03 h (nouvelle heure, nuit du 13 au 14), la gendarmerie de Louhans (Saône-et-Loire) alerte un club spécialisé : plusieurs témoins remarquent une sphère lumineuse de couleur jaunâtre comme une grosse ampoule électrique. A en 4 A Montrond (Jura) un jeune artisan dit avoir vu 2 sphères lumineuses qui l'ont suivi entre Champagnole et Montrond.","",1980-04-14,,""""","""",s10,"""",,,Lundi de Pâques,""""""Ovnis"","""",s11,"""",Le Progrès,17,Nouvelle série d'observations""",1980-04-14,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-14
"le Au , 1 jardinier entend un sifflement et est effrayé par une gerbe de feu et la chute à quelques m de lui d'un objet venant du nord-ouest. Il n'entend aucun bruit d'impact et ne voit aucune fumée. Le phénomène a la grosseur d'un seau d'un diamètre de 20 cm et les couleurs d'un arc-en-ciel. Les gendarmes appelés sur place constatent des traces au sol : sur un cercle de 100 m de diamètre le sol est recouvert d'une poudre blanchâtre et l'herbe est brûlée. Aucune trace d'impact du type cratère n'est présente au sol. Le lendemain une pièce métallique sera retrouvée.","",1980-04-21T11:55,"Pellerin, Loire-Atlantique",,,,"",,"","""GEPAN"","""",s12,"""",,,PAN classé C",1980-04-21T11:55,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-21T11:55
"le Au , 1 témoin observe alors qu'il s'apprête à rentrer chez lui 1 boule rouge-orangée de la grosseur d'un ballon de football s'approche vers lui et s'arrète à 5 m de la maison. Ce phénomène brille fortement d'un éclat métallique. Réveillant d'autres personnes chez lui, ils vont également observer cette boule lumineuse. Effrayés, ils décideront de rentrer se coucher. Le lendemain aucune trace suspecte ne sera remarquée sur le devant de la porte.","",1980-04-27T00:30,"Vezzani, Haute Corse",,,,"",,"","""GEPAN"","""",s13,"""",,,PAN classé C",1980-04-27T00:30,case,https://rr0.org/time/1/9/8/0/04/index.html#1980-04-27T00:30
