description,events,eventType,id,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url,place
"L'ovni observé au-dessus de Sao Paulo A , photo (ci-contre).","",sighting,1984$SaoPauloBresil,,,"",,"",Sao Paulo (Brésil),"",place,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
"9 Minis chez Bull, répartis entre 4 gammes : Mini 6, Mitra, Solar (futur SPS 5) et SPS 7 (sur base de la SM90 du CNET). Lancement de la gamme Apple 32 bits. En vedette, le Macintosh (à 21000 FF), puis Lisa (modèles 2, 2/5 et 2/10). jeudi 5 janvier à 02:30 Grand Callargues (Gard), 2 témoins voient au-dessus de leur véhicule une masse noire de 50 m de diamètre. Celle-ci semble flotter à 400 m du sol et se déplace par bonds successifs. Cette masse sombre vient ensuite se placer sur le coté de la voiture et suivra le véhicule pendant 10 km environ. Aucun bruit, aucune odeur ne seront remarqués et cette masse disparaîtra soudainement à une vitesse très importante en émettant à sa base une lumière bleutée. dimanche 29 janvier 1er essai de la fusée chinoise Longue Marche 3.","",sighting,1984-01$A,,,"",,"",A,"",place,"""GEPAN"","""",s1,"""",,PAN classé C",1984-01,event,https://rr0.org/time/1/9/8/4/index.html#1984-01
,"",sighting,1984-02$,,"",1984-02,event,https://rr0.org/time/1/9/8/4/index.html#1984-02
"Bull introduit G-COS 7, nouveau système d'exploitation pour sa gamme DPS 7.","",sighting,1984-03$,,"",1984-03,event,https://rr0.org/time/1/9/8/4/index.html#1984-03
"mardi 24 avril Les communications de l'avion du président Ronald Wilson Reagan sont coupées pendant plusieurs heures. jeudi 26 avril Le général Robert Bond est tué lorsque le MIG 23 qu'il pilote au-delà de Groom Lake s'écrase sur Little Skull Mountain dans le NTS. vendredi 27 avril Au-dessus de 2 communes de l'Isère, plusieurs témoins voient un phénomène triangulaire très brillant reste stationnaire et peut être observé entre 15 mn et 1 h 35. 2 témoins verront l'élévation et la disparition progressive de l'objet après l'apparition d'une fumée épaisse.","",sighting,1984-04$,,"""""""Peebles, Curtis"""""","""",s2,"""",,Dark Eagles,""GEPAN"","""",s3,"""",,PAN classé C",1984-04,event,https://rr0.org/time/1/9/8/4/index.html#1984-04
"Ovni supposé, photographié en juin près de Rio Claro (São Paulo, Brésil)...","",sighting,1984-06$,,"",1984-06,event,https://rr0.org/time/1/9/8/4/index.html#1984-06
,"",sighting,1984-07$,,"",1984-07,event,https://rr0.org/time/1/9/8/4/index.html#1984-07
,"",sighting,1984-08$,,"",1984-08,event,https://rr0.org/time/1/9/8/4/index.html#1984-08
,"",sighting,1984-09$,,"",1984-09,event,https://rr0.org/time/1/9/8/4/index.html#1984-09
,"",sighting,1984-10$,,"",1984-10,event,https://rr0.org/time/1/9/8/4/index.html#1984-10
"Après l'accord avec Ridge Computers pour distribuer en OEM ses minis 32 bits SPS 9, Bull signe avec NEC pour fabriquer et distribuer ses processeurs S 1000. Une manière rapide d'étoffer le haut de gamme des mainframes sous G-COS 8.","",sighting,1984-11$,,"",1984-11,event,https://rr0.org/time/1/9/8/4/index.html#1984-11
,"",sighting,1984-12$,,"",1984-12,event,https://rr0.org/time/1/9/8/4/index.html#1984-12
"Mort de Gordon L. Gray, dernier membre vivant de la première promotion du MJ-12.","",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
"D'après certaines thèses, le MJ-12 s'aperçoit de son erreur quant à la confiance qu'il a accordé aux extraterrestres.","",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
"Des milliers de témoins rapportent la présence d'objets énormes, silencieux, planant au-dessus Westchester Wing, dans la vallée de l'Hudson (état de New York), avec des lumières rotatives. Parmi ces témoins se trouvent des météorologues, des journalistes et même des officiers de police. Les autorités affirment pourtant que le phénomène observé se limite à quelques avions en formation. Les films vidéos tournés ce jour-là par des habitants de la région contestent la version officielle des événements.","",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
IBM PC/AT.,"",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
Tandy 1000 n°1 des ventes de compatibles PC.,"",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
La DARPA arrête de financer Internet.,"",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
Apparition des premiers réseaux de radiocommunications cellulaires.,"",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
"Démantèlement d'AT&T en 7 compagnies régionales (RBOC), les ""baby bell"".","",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
"Mise en place du DNS sur Internet. Jusque-là, pour trouver une machine sur Internet, il fallait soit connaître son adresse numérique, soit tenir à jour un unique fichier texte contenant le nom et l'adresse numérique correspondante de toutes les machines de l'Internet, ce qui est rapidement devenu impossible avec la rapide croissance de ce réseau.","",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
ISO propose l'OSI qui a pour but de permettre la communication entre réseaux hétérogènes. Cette modélisation propose une architecture découpée en 7 couches distinctes.,"",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
Les premiers ISP (L'équivalent de nos fournisseurs d'accès internet ou FAI) font leur apparition aux USA.,"",sighting,1984$,,"",1984,event,https://rr0.org/time/1/9/8/4/index.html
