description,events,eventType,id,place,sources,time,type,url
"Bilan des ventes mondiales de micros de 1994 (en volumes) : Compaq est devenu n°1, dépassant IBM et Apple, puis Packard Bell.","",sighting,1995-01$,,"",1995-01,event,https://rr0.org/time/1/9/9/5/index.html#1995-01
,"",sighting,1995-02$,,"",1995-02,event,https://rr0.org/time/1/9/9/5/index.html#1995-02
,"",sighting,1995-03$,,"",1995-03,event,https://rr0.org/time/1/9/9/5/index.html#1995-03
Arrêt de NSF Net.,"",sighting,1995-04$,,"",1995-04,event,https://rr0.org/time/1/9/9/5/index.html#1995-04
"Netscape sort son logiciel Merchant System, basé sur l'interface Netscape Navigator, pour du commerce électronique en ligne sur Internet.","",sighting,1995-05$,,"",1995-05,event,https://rr0.org/time/1/9/9/5/index.html#1995-05
"IBM lance une OPA inamicale et record (3,3 milliards de $) sur Lotus pour son produit phare : Notes. L'affaire se fera avant l'automne, à 3,52 milliards.","",sighting,1995-06$,,"",1995-06,event,https://rr0.org/time/1/9/9/5/index.html#1995-06
,"",sighting,1995-07$,,"",1995-07,event,https://rr0.org/time/1/9/9/5/index.html#1995-07
"Aux États-Unis, Microsoft lance en fanfare de Windows 95, le nouveau système d'exploitation pour PC 32 bits, multitâche et graphique.","",sighting,1995-08-24$,,"",1995-08-24,event,https://rr0.org/time/1/9/9/5/index.html#1995-08-24
Novell revend son activité Unix à SCO dont il devient actionnaire à 17 %. lundi 4 septembre: Lancement de Windows 95 en France.,"",sighting,1995-09$,,"",1995-09,event,https://rr0.org/time/1/9/9/5/index.html#1995-09
,"",sighting,1995-10$,,"",1995-10,event,https://rr0.org/time/1/9/9/5/index.html#1995-10
,"",sighting,1995-11$,,"",1995-11,event,https://rr0.org/time/1/9/9/5/index.html#1995-11
,"",sighting,1995-12$,,"",1995-12,event,https://rr0.org/time/1/9/9/5/index.html#1995-12
"Robert Durand entame une édifiante étude statistique des enlèvements extraterrestres. Son rapport indique que 5 millions d'Américains prétendent avoir été enlevés au cours des 50 dernières années... ce qui signifie 274 enlèvements par jour, impliquant une équipe de 1644 extraterrestres : en effet, 6 extraterrestres en moyenne participent au kidnapping décrit par les ""enlevés"".","",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
L'équipe de la mission STS80 La video de la NASA montrant des ovnis depuis la navette spatiale de la mission STS80 La video de la NASA (ci-contre) montrant des ovnis depuis la navette spatiale de la mission STS80 (photo équipe ci-contre).,"",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
"Une bande vidéo issue d'une caméra de sécurité de la base de l'USAF de Nellis est communiquée clandestinement à des ufologues. Sur cette vidéo, on voit un engin métallique s'élevant dans le ciel. Ces images seront authentifiées par plusieurs analystes militaires, experts dans les questions de défense, notamment par Bill Sweetman, spécialiste de la technologie des avions furtifs.","",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
ATT se divise en 3.,"",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
ADP achète GSI.,"",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
Première version de Java.,"",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
"Cyrix 6x86, concurrent direct du Pentium.","",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
Bay Networks et Madge annoncent les premiers commutateurs Token Ring. Les réseaux locaux se connectent à un fédérateur ATM grâce à l'émulation LAN.,"",sighting,1995$,,"",1995,event,https://rr0.org/time/1/9/9/5/index.html
