description,events,id,place,sources,time,type,url
1900s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1910s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1920s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1930s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1940s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1950s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1960s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1970s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1980s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
1990s,"",1900,,"",1900,case,https://rr0.org/time/1/9/index.html
