url,place,time,description,sources
https://rr0.org/time/index.html,,undefined,21ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,20ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,19ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,18ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,17ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,16ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,15ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,14ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,13ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,12ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,11ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,10ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,9ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,8ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,7ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,6ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,5ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,4ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,3ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,2ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,1er siècle,""
https://rr0.org/time/index.html,,undefined,-1er siècle,""
https://rr0.org/time/index.html,,undefined,-2ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-3ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-4ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-5ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-6ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-7ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-8ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-9ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-10ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-11ᵉ siècle,""
https://rr0.org/time/index.html,,undefined,-2000,""
https://rr0.org/time/index.html,,undefined,-3000,""
https://rr0.org/time/index.html,,undefined,-4000,""
https://rr0.org/time/index.html,,undefined,-6000,""
https://rr0.org/time/index.html,,undefined,-10 000,""
